,Perfil Pymetrics,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Actividad Grupal.1,Apto AG,Ingles,Apto,Destacado,Destacado Pym,Ingresados Si/No
632,1,1,0,2,0,1,2,0,0,0.0,0,0,0,0
634,4,0,0,1,0,0,2,0,0,0.0,0,0,0,0
635,1,0,0,1,0,1,2,0,0,0.0,0,0,0,0
642,1,1,2,2,0,0,0,0,0,1.0,0,0,0,0
646,1,1,0,0,2,1,2,5,0,5.0,1,1,1,1
650,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0
652,4,1,1,2,0,0,0,2,0,6.0,0,0,0,0
660,4,1,0,2,0,1,1,0,0,0.0,0,0,0,0
661,1,1,1,2,0,1,0,5,0,3.0,1,1,1,1
663,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
664,1,0,0,0,0,1,1,0,0,0.0,0,0,0,0
670,10,1,0,0,2,0,0,0,0,2.0,0,0,0,0
672,1,1,0,2,0,2,0,0,0,0.0,0,0,0,0
673,1,0,0,0,0,1,1,0,0,0.0,0,0,0,0
679,4,0,0,1,0,0,2,0,0,0.0,0,0,0,0
681,1,0,0,1,0,0,2,0,0,0.0,0,0,0,0
690,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
691,1,1,0,2,0,0,1,3,0,4.0,1,0,0,0
693,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
696,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
697,4,1,0,2,0,0,2,0,0,2.0,0,0,0,0
700,4,1,0,2,1,0,1,0,0,0.0,0,0,0,0
701,3,1,0,2,0,0,2,4,0,5.0,1,1,1,1
702,1,1,0,2,0,0,1,2,0,0.0,0,0,0,0
706,1,0,0,0,0,0,2,0,0,0.0,0,0,0,0
707,3,0,0,0,0,0,2,0,0,0.0,0,0,0,0
781,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
817,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
818,10,0,1,1,0,1,0,0,0,0.0,0,0,0,0
820,1,1,0,0,2,0,0,0,0,0.0,0,0,0,0
822,10,1,1,2,0,0,0,0,0,0.0,0,0,0,0
829,10,1,0,2,0,1,0,0,0,3.0,0,0,0,0
830,10,1,2,2,0,1,0,0,0,0.0,0,0,0,0
831,1,0,1,1,0,1,0,0,0,0.0,0,0,0,0
832,1,1,2,2,0,0,1,2,0,4.0,0,0,0,0
834,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
844,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
845,10,1,0,0,2,0,0,0,0,0.0,0,0,0,0
846,10,1,2,1,2,1,0,0,0,1.0,0,0,0,0
847,10,1,1,2,1,1,2,0,0,1.0,0,0,0,0
848,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
851,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
852,10,1,0,2,2,2,1,0,0,0.0,0,0,0,0
864,4,1,0,2,0,1,0,4,0,4.0,1,1,1,1
866,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
870,4,0,0,0,0,0,1,0,0,0.0,0,0,0,0
871,1,1,0,2,0,0,0,0,0,0.0,0,0,0,0
872,10,1,0,2,0,2,0,0,0,2.0,0,0,0,0
873,4,1,0,2,0,0,2,0,0,0.0,0,0,0,0
875,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
876,10,0,0,1,0,0,0,0,0,0.0,0,0,0,0
884,1,1,2,0,0,0,0,0,0,0.0,0,0,0,0
885,2,1,0,2,1,0,0,0,0,0.0,0,0,0,0
888,10,1,0,1,2,2,0,0,0,0.0,0,0,0,0
893,10,1,2,1,0,1,2,0,0,0.0,0,0,0,0
897,10,0,0,1,0,0,0,0,0,0.0,0,0,0,0
921,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0
922,1,1,0,2,0,0,1,0,0,0.0,0,0,0,0
928,10,1,1,2,0,2,0,0,0,2.0,0,0,0,0
929,10,1,0,0,2,0,0,0,0,0.0,0,0,0,0
930,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
939,1,1,2,2,0,2,2,0,0,2.0,0,0,0,0
954,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
955,10,1,0,0,1,2,1,2,0,0.0,0,0,0,0
960,10,1,0,2,1,1,0,0,0,0.0,0,0,0,0
971,10,1,2,2,0,0,0,0,0,0.0,0,0,0,0
972,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
973,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
978,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
981,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
983,10,0,0,1,0,0,2,0,0,0.0,0,0,0,0
984,1,1,0,2,0,0,1,0,0,0.0,0,0,0,0
988,4,1,0,0,2,2,0,0,0,3.0,0,0,0,0
991,10,0,0,0,0,1,0,0,0,0.0,0,0,0,0
1003,10,1,2,2,0,0,0,0,0,0.0,0,0,0,0
1007,10,1,0,2,0,1,2,0,0,0.0,0,0,0,0
1010,1,1,2,0,1,0,0,0,0,0.0,0,0,0,0
1012,10,0,0,0,0,0,0,3,0,2.0,1,0,0,0
1013,1,0,0,1,0,0,1,0,0,0.0,0,0,0,0
1022,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1024,1,1,0,2,2,0,0,0,0,0.0,0,0,0,0
1026,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1031,4,1,2,0,0,0,0,4,0,6.0,1,1,1,1
1032,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1034,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1035,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1036,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1037,10,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1043,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1044,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1045,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1046,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0
1052,10,1,0,2,0,0,2,0,0,0.0,0,0,0,0
1054,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1057,10,0,0,0,1,0,2,0,0,0.0,0,0,0,0
1059,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1068,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1078,10,1,1,0,0,2,2,4,0,4.0,1,1,1,1
1083,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1087,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1095,4,1,0,2,0,1,1,0,0,0.0,0,0,0,0
1096,1,1,1,0,1,2,0,0,0,0.0,0,0,0,0
1100,1,0,0,0,1,0,1,0,0,0.0,0,0,0,0
1103,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1105,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1111,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1116,10,0,1,0,0,0,1,0,0,0.0,0,0,0,0
1117,10,1,0,1,2,1,0,0,0,0.0,0,0,0,0
1119,10,1,0,0,2,2,2,0,0,0.0,0,0,0,0
1122,10,0,0,0,0,1,0,0,0,0.0,0,0,0,0
1127,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1129,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1130,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1131,10,1,2,0,1,1,0,0,0,1.0,0,0,0,0
1135,1,1,2,1,2,0,0,0,0,0.0,0,0,0,0
1136,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1138,4,1,1,0,2,0,0,0,0,0.0,0,0,0,0
1139,1,0,1,0,0,1,0,0,0,0.0,0,0,0,0
1143,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1149,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1150,10,0,1,0,0,1,0,0,0,0.0,0,0,0,0
1153,1,1,1,2,0,0,0,4,0,0.0,1,1,1,1
1160,4,1,2,1,0,0,0,0,0,0.0,0,0,0,0
1161,4,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1164,10,1,0,2,2,1,1,0,0,0.0,0,0,0,0
1169,1,1,2,2,0,2,2,0,0,0.0,0,0,0,0
1175,10,1,2,0,0,0,1,0,0,0.0,0,0,0,0
1176,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1179,10,0,0,0,1,0,0,0,0,0.0,0,0,0,0
1184,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1185,10,1,1,1,2,1,0,0,0,0.0,0,0,0,0
1186,10,0,0,1,0,0,2,0,0,0.0,0,0,0,0
1190,10,0,0,0,0,1,0,0,0,0.0,0,0,0,0
1196,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1208,10,0,0,0,0,0,1,0,0,0.0,0,0,0,0
1213,10,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1215,10,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1217,10,1,2,2,2,2,2,0,0,1.0,0,0,0,0
1219,10,1,2,2,2,1,0,0,0,0.0,0,0,0,0
1220,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1227,10,1,2,0,0,2,0,2,0,0.0,0,0,0,0
1228,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1230,10,1,2,2,0,0,0,0,0,1.0,0,0,0,0
1231,1,1,0,0,2,2,1,0,0,2.0,0,0,0,0
1232,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1233,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1237,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0
1238,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1240,10,1,2,0,0,0,0,0,0,1.0,0,0,0,0
1245,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1247,10,1,0,2,1,0,0,0,0,2.0,0,0,0,0
1249,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1251,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1257,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0
1260,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1261,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1262,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1265,10,0,0,0,0,1,1,0,0,0.0,0,0,0,0
1268,1,1,0,1,0,2,1,0,0,2.0,0,0,0,0
1273,10,1,2,0,0,0,2,0,0,0.0,0,0,0,0
1275,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0
1280,10,0,0,1,0,0,1,0,0,0.0,0,0,0,0
1281,1,1,2,2,1,0,2,4,0,5.0,1,1,1,1
1282,1,1,0,0,2,0,0,3,0,3.0,1,0,0,0
1283,10,1,0,0,0,2,2,0,0,0.0,0,0,0,0
1284,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1286,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1287,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1288,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0
1291,10,0,0,0,0,0,1,0,0,0.0,0,0,0,0
1292,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1301,10,0,0,1,0,0,1,0,0,0.0,0,0,0,0
1306,10,0,0,0,0,0,1,0,0,0.0,0,0,0,0
1307,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0
1316,10,1,1,2,0,2,1,0,0,0.0,0,0,0,0
1317,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1321,1,1,2,2,0,0,1,0,0,0.0,0,0,0,0
1327,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1330,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1331,1,1,0,2,0,0,1,0,0,2.0,0,0,0,0
1335,4,0,0,1,0,0,1,0,0,0.0,0,0,0,0
1336,10,1,2,2,1,0,1,4,0,3.0,1,1,1,1
1339,1,1,0,2,0,0,1,0,0,3.0,0,0,0,0
1342,1,1,1,2,2,1,2,0,0,0.0,0,0,0,0
1345,10,0,0,1,0,0,1,0,0,0.0,0,0,0,0
1346,10,1,0,2,0,0,2,0,0,0.0,0,0,0,0
1348,1,1,1,0,2,1,2,0,0,0.0,0,0,0,0
1351,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0
1352,1,1,0,0,0,2,0,0,0,1.0,0,0,0,0
1359,1,0,0,0,0,1,2,0,0,0.0,0,0,0,0
1364,10,1,1,2,1,2,0,0,0,2.0,0,0,0,0
1366,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0
1368,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1369,10,0,0,1,0,0,2,0,0,0.0,0,0,0,0
1375,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1381,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1383,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0
1393,10,0,0,0,0,0,1,0,0,0.0,0,0,0,0
1394,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1395,1,1,2,1,0,0,2,4,0,4.0,1,1,1,1
1396,1,1,2,0,0,0,1,0,0,0.0,0,0,0,0
1399,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1403,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1415,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1417,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1418,1,1,2,2,0,0,0,0,0,2.0,0,0,0,0
1420,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1422,1,0,0,1,0,0,0,4,0,1.0,1,0,0,1
1423,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0
1425,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1430,10,0,0,1,1,0,0,0,0,0.0,0,0,0,0
1431,4,0,0,1,0,0,2,0,0,0.0,0,0,0,0
1434,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1435,10,1,2,2,1,0,1,0,0,2.0,0,0,0,0
1441,10,0,0,0,0,1,0,0,0,0.0,0,0,0,0
1449,10,0,0,0,0,1,2,0,0,0.0,0,0,0,0
1454,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1461,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1462,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1467,10,0,1,1,0,1,2,0,0,0.0,0,0,0,0
1474,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1475,1,1,0,1,2,2,0,0,0,0.0,0,0,0,0
1476,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1480,1,1,0,2,0,1,2,0,0,0.0,0,0,0,0
1483,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1492,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1495,1,1,2,0,0,0,2,0,0,0.0,0,0,0,0
1497,10,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1504,10,1,0,0,1,2,0,0,0,2.0,0,0,0,0
1507,10,1,0,2,0,1,0,0,0,0.0,0,0,0,0
1508,10,1,2,0,0,2,0,0,0,2.0,0,0,0,0
1512,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1529,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0
1530,10,1,2,2,0,2,2,0,0,6.0,0,0,0,0
1550,10,0,0,1,0,1,0,0,0,0.0,0,0,0,0
1567,4,1,2,0,2,0,0,0,0,1.0,0,0,0,0
1576,10,1,0,2,0,0,0,0,0,0.0,0,0,0,0
1579,4,1,2,2,0,0,2,0,0,0.0,0,0,0,0
1580,10,1,2,2,1,2,0,0,0,4.0,0,0,0,0
